t, Cuff Pressure, Target Pressure
10.572 , 150.86 , 150
10.572 , 150.81 , 150
10.573 , 150.86 , 150
10.574 , 150.81 , 150
10.575 , 150.86 , 150
10.576 , 150.81 , 150
10.577 , 150.81 , 150
10.578 , 150.81 , 150
10.578 , 150.86 , 150
10.579 , 150.81 , 150
10.58 , 150.86 , 150
10.581 , 150.86 , 150
10.582 , 150.81 , 150
10.583 , 150.86 , 150
10.583 , 150.86 , 150
10.584 , 150.86 , 150
10.585 , 150.86 , 150
10.586 , 150.81 , 150
10.587 , 150.81 , 150
10.588 , 150.81 , 150
10.588 , 150.81 , 150
10.589 , 150.86 , 150
10.59 , 150.81 , 150
10.591 , 150.81 , 150
10.592 , 150.81 , 150
10.593 , 150.81 , 150
10.594 , 150.81 , 150
10.594 , 150.81 , 150
10.595 , 150.81 , 150
10.596 , 150.79 , 150
10.597 , 150.81 , 150
10.598 , 150.79 , 150
10.599 , 150.79 , 150
10.6 , 150.81 , 150
10.601 , 150.81 , 150
10.601 , 150.81 , 150
10.602 , 150.81 , 150
10.603 , 150.81 , 150
10.604 , 150.81 , 150
10.605 , 150.79 , 150
10.606 , 150.81 , 150
10.607 , 150.79 , 150
10.607 , 150.79 , 150
10.608 , 150.79 , 150
10.609 , 150.81 , 150
10.61 , 150.79 , 150
10.611 , 150.79 , 150
10.612 , 150.79 , 150
10.613 , 150.79 , 150
10.613 , 150.81 , 150
10.614 , 150.74 , 150
10.615 , 150.79 , 150
10.616 , 150.79 , 150
10.617 , 150.79 , 150
10.618 , 150.74 , 150
10.619 , 150.79 , 150
10.619 , 150.79 , 150
10.62 , 150.79 , 150
10.621 , 150.79 , 150
10.622 , 150.79 , 150
10.623 , 150.79 , 150
10.624 , 150.79 , 150
10.625 , 150.74 , 150
10.625 , 150.79 , 150
10.626 , 150.79 , 150
10.627 , 150.74 , 150
10.628 , 150.79 , 150
10.629 , 150.72 , 150
10.63 , 150.74 , 150
10.63 , 150.72 , 150
10.631 , 150.79 , 150
10.632 , 150.72 , 150
10.633 , 150.79 , 150
10.634 , 150.74 , 150
10.635 , 150.68 , 150
10.635 , 150.74 , 150
10.636 , 150.72 , 150
10.637 , 150.74 , 150
10.638 , 150.74 , 150
10.639 , 150.74 , 150
10.64 , 150.72 , 150
10.64 , 150.72 , 150
10.641 , 150.74 , 150
10.642 , 150.79 , 150
10.643 , 150.74 , 150
10.644 , 150.79 , 150
10.645 , 150.72 , 150
10.645 , 150.74 , 150
10.646 , 150.74 , 150
10.647 , 150.72 , 150
10.648 , 150.74 , 150
10.649 , 150.72 , 150
10.649 , 150.72 , 150
10.65 , 150.68 , 150
10.651 , 150.72 , 150
10.652 , 150.72 , 150
10.653 , 150.68 , 150
10.654 , 150.72 , 150
10.654 , 150.72 , 150
10.655 , 150.72 , 150
10.656 , 150.72 , 150
10.657 , 150.68 , 150
10.658 , 150.68 , 150
10.659 , 150.72 , 150
10.659 , 150.68 , 150
10.66 , 150.72 , 150
10.661 , 150.68 , 150
10.662 , 150.68 , 150
10.663 , 150.68 , 150
