t,o,f
0.8 , -0.09 , -0.08
0.801 , -0.09 , -0.08
0.802 , -0.09 , -0.08
0.803 , -0.09 , -0.08
0.805 , -0.09 , -0.08
0.8059999 , -0.09 , -0.08
0.807 , -0.14 , -0.1
0.808 , -0.09 , -0.1
0.808 , -0.14 , -0.12
0.809 , -0.14 , -0.13
0.81 , -0.09 , -0.11
0.811 , -0.09 , -0.1
0.812 , -0.09 , -0.1
0.813 , -0.09 , -0.1
0.814 , -0.14 , -0.12
0.815 , -0.07 , -0.1
0.816 , -0.09 , -0.1
0.817 , -0.09 , -0.1
0.817 , -0.09 , -0.1
0.818 , -0.09 , -0.1
0.8190001 , -0.09 , -0.1
0.82 , -0.14 , -0.12
0.821 , -0.09 , -0.11
0.822 , -0.09 , -0.1
0.823 , -0.09 , -0.1
0.824 , -0.07 , -0.09
0.825 , -0.09 , -0.09
0.826 , -0.09 , -0.09
0.827 , -0.09 , -0.09
0.828 , -0.09 , -0.09
0.829 , -0.07 , -0.08
0.83 , -0.07 , -0.08
0.8309999 , -0.07 , -0.08
0.832 , -0.07 , -0.08
0.833 , -0.09 , -0.08
0.834 , -0.14 , -0.1
0.8349999 , -0.07 , -0.09
0.8360001 , -0.16 , -0.12
0.837 , -0.16 , -0.14
0.838 , -0.14 , -0.14
