t, OWM
2.819,49.85001
2.822,49.85
2.824,49.84999
2.827,49.85001
2.83,49.86
2.832,49.83
2.835,49.85999
2.838,49.85001
2.84,49.85
2.843,49.84
2.845,49.85001
2.848,49.85
2.851,49.84
2.853,49.83
2.856,49.84001
2.859,49.84
2.861,49.82
2.864,49.83001
2.867,49.86
2.869,49.84
2.872,49.84999
2.874,49.86
2.877,49.86
2.88,49.83001
2.882,49.83001
2.885,49.82
2.888,49.85
2.89,49.85001
2.893,49.88001
2.895,49.88
2.898,49.84
2.901,49.85001
2.903,49.82001
2.914,49.85
2.916,49.83
2.919,49.82999
2.922,49.85001
2.924,49.84
2.927,49.85001
2.93,49.84
2.932,49.83
2.935,49.85
2.938,49.84001
2.94,49.85
2.943,49.83
2.945,49.84
2.948,49.83001
2.951,49.86
2.953,49.85
2.956,49.84999
2.958,49.85001
2.961,49.85
2.964,49.85001
2.966,49.83001
2.969,49.83
2.972,49.84
2.974,49.85001
2.977,49.83
2.98,49.86
2.982,49.82
2.985,49.85001
2.988,49.85
2.99,49.84999
2.993,49.84999
2.996,49.85001
2.998,49.85
3.001,49.84
3.003,49.84
3.006,49.84
3.009,49.84
3.011,49.84001
3.014,49.85
3.016,49.84
3.019,49.84
3.021,49.84001
3.024,49.86
3.027,49.84
3.029,49.85
3.032,49.87001
3.034,49.84
3.037,49.87
3.04,49.86
3.042,49.85001
3.045,49.86
3.048,49.86001
3.05,49.84
3.053,49.87
3.056,49.85
3.058,49.85001
3.061,49.84
3.063,49.85
3.066,49.83
3.069,49.86001
3.071,49.84
3.074,49.86
3.077,49.86
3.079,49.86
3.082,49.86
3.084,49.87
3.087,49.87
3.09,49.87
3.092,49.83
3.095,49.86001
3.097,49.87
3.1,49.85
3.103,49.87001
3.105,49.86001
3.108,49.85
3.111,49.85
3.113,49.86001
3.116,49.85001
3.118,49.86
3.121,49.85999
3.124,49.88
3.126,49.85001
3.129,49.86
3.131,49.86001
3.134,49.88
3.137,49.87
3.139,49.88
3.142,49.88001
3.144,49.87
3.147,49.86
3.15,49.87001
3.152,49.86001
3.155,49.88
3.157,49.88
3.16,49.87001
3.163,49.87
3.165,49.88
3.168,49.87
3.17,49.88
3.173,49.87
3.176,49.86
3.178,49.88001
3.181,49.88
3.184,49.89
3.186,49.88
3.189,49.89001
3.192,49.89
3.194,49.89
3.197,49.89001
3.199,49.86001
3.202,49.89
3.205,49.89
3.207,49.91
3.21,49.9
3.212,49.89
3.215,49.87001
3.218,49.87
3.22,49.89
3.223,49.90001
3.226,49.90001
3.228,49.91
3.231,49.89
3.234,49.89001
3.236,49.89001
3.239,49.89
3.242,49.89
3.244,49.90001
3.247,49.9
3.25,49.89999
3.252,49.89999
3.255,49.88
3.257,49.89
3.26,49.90001
3.263,49.87
3.265,49.89
3.268,49.92
3.271,49.88001
3.273,49.9
3.276,49.89
3.279,49.89
3.281,49.89001
3.284,49.9
3.286,49.89
3.289,49.89999
3.292,49.91
3.294,49.9
3.297,49.90001
3.3,49.91
3.302,49.89
3.305,49.91
3.308,49.89001
3.31,49.91
3.313,49.88
3.323,49.88
3.326,49.91
3.328,49.90001
3.331,49.89
3.334,49.89999
3.336,49.89999
3.339,49.91
3.341,49.91
3.344,49.90001
3.347,49.91
3.349,49.89
3.352,49.89
3.354,49.90001
3.357,49.91
3.36,49.89
3.362,49.89
3.365,49.91001
3.368,49.9
3.37,49.89
3.373,49.91
3.376,49.89001
3.378,49.9
3.381,49.89001
3.383,49.92001
3.386,49.91
3.389,49.91
3.391,49.91001
3.394,49.92
3.396,49.88
3.399,49.89
3.402,49.91001
3.404,49.91
3.407,49.91999
3.409,49.89999
3.412,49.90001
3.415,49.92
3.417,49.87999
3.42,49.90001
3.423,49.93
3.425,49.9
3.428,49.91001
3.431,49.92
3.433,49.92
3.436,49.9
3.439,49.90001
3.441,49.9
3.444,49.91
3.446,49.9
3.449,49.91001
3.452,49.9
3.454,49.91999
3.457,49.91
3.459,49.91
3.462,49.91
3.465,49.91001
3.467,49.91
3.47,49.91
3.473,49.92001
3.475,49.91001
3.478,49.91
3.48,49.89
3.483,49.90001
3.486,49.89001
3.488,49.92
3.491,49.91999
3.494,49.93
3.496,49.92001
3.499,49.92
3.501,49.91
3.504,49.90001
3.507,49.91
3.509,49.91
3.512,49.93001
3.515,49.92
3.517,49.93
3.52,49.92001
3.523,49.92
3.525,49.9
3.528,49.91
3.53,49.92001
3.533,49.93
3.535,49.92
3.538,49.91
3.541,49.91
3.543,49.9
3.546,49.91001
3.549,49.91001
3.551,49.91
3.554,49.92
3.557,49.95001
3.559,49.91001
3.562,49.92
3.564,49.92
3.567,49.94001
3.57,49.91
3.573,49.93
3.575,49.91999
3.578,49.92001
3.58,49.92
3.583,49.93999
3.586,49.92001
3.589,49.90001
3.591,49.91
3.594,49.91001
3.596,49.91
3.599,49.91
3.602,49.92
3.604,49.92001
3.607,49.91
3.61,49.92
3.612,49.91
3.615,49.91001
3.617,49.91
3.62,49.91
3.623,49.91
3.626,49.91
3.628,49.89
3.631,49.91001
3.634,49.89
3.636,49.9
3.639,49.92
3.641,49.91001
3.644,49.92
3.646,49.91
3.649,49.9
3.652,49.89001
3.654,49.9
3.657,49.91999
3.66,49.90001
3.662,49.91
3.665,49.9
3.668,49.91999
3.67,49.89
3.673,49.91
3.675,49.91
3.678,49.88001
3.681,49.87
3.684,49.91
3.686,49.92001
3.689,49.90001
3.691,49.92
3.694,49.92
3.697,49.91001
3.699,49.87001
3.702,49.88
3.705,49.88
3.708,49.91
3.71,49.92
3.713,49.91001
3.715,49.92001
3.718,49.89
3.721,49.88
3.731,49.9
3.734,49.90001
3.736,49.88
3.739,49.9
3.741,49.91
3.744,49.87001
3.747,49.87
3.75,49.91
3.752,49.87999
3.755,49.89
3.757,49.9
3.76,49.90001
3.763,49.89
3.765,49.91
3.768,49.9
3.771,49.91001
3.773,49.9
3.776,49.9
3.779,49.88
3.781,49.89001
3.784,49.89
3.787,49.89999
3.789,49.89
3.792,49.90001
3.795,49.9
3.797,49.89001
3.8,49.9
3.803,49.9
3.805,49.89
3.808,49.90001
3.811,49.9
3.814,49.9
3.816,49.90001
3.819,49.89001
3.822,49.91
3.824,49.91
3.827,49.89001
3.829,49.89001
3.832,49.89
3.835,49.89999
3.837,49.91
3.84,49.89
3.843,49.90001
3.845,49.89001
3.848,49.88
3.85,49.89
3.853,49.90001
3.856,49.9
3.858,49.9
3.861,49.9
3.863,49.89001
3.866,49.9
3.869,49.89
3.871,49.89
3.874,49.90001
3.877,49.9
3.879,49.89
3.882,49.89001
3.885,49.9
3.887,49.89
3.89,49.90001
3.893,49.9
3.895,49.89
3.898,49.89
3.901,49.90001
3.903,49.89
3.906,49.89999
3.909,49.91
3.911,49.89001
3.914,49.91
3.916,49.91999
3.919,49.89
3.922,49.90001
3.924,49.9
3.927,49.90001
3.93,49.9
3.932,49.88
3.935,49.88
3.938,49.88001
3.94,49.88
3.943,49.9
3.946,49.91001
3.948,49.89001
3.951,49.89
3.954,49.89
3.957,49.88
3.959,49.88
3.962,49.89
3.965,49.89001
3.967,49.89
3.97,49.89
3.973,49.90001
3.975,49.89001
3.978,49.88
3.98,49.89
3.983,49.89001
3.986,49.9
3.988,49.9
3.991,49.89
3.994,49.90001
3.996,49.9
3.999,49.88
4.001,49.91
4.004,49.91
4.007,49.89
4.009,49.90001
4.012,49.88001
4.015,49.88
4.017,49.88
4.02,49.92001
4.022,49.90001
4.025,49.88
4.028,49.91
4.03,49.90001
4.033,49.88
4.036,49.89999
4.038,49.88
4.041,49.90001
4.044,49.88
4.046,49.90001
4.049,49.9
4.051,49.89
4.054,49.89
4.057,49.91001
4.059,49.89
4.062,49.89
4.064,49.91
4.067,49.90001
4.07,49.89
4.072,49.89
4.075,49.89
4.078,49.88
4.08,49.92
4.083,49.91999
4.086,49.89
4.088,49.93
4.091,49.91
4.094,49.88001
4.096,49.9
4.099,49.9
4.102,49.91
4.104,49.91001
4.107,49.93
4.11,49.92
4.112,49.91
4.115,49.90001
4.117,49.9
4.12,49.91999
4.123,49.92001
4.125,49.92001
4.128,49.92
4.131,49.93001
4.133,49.9
4.143,49.91
4.146,49.93
4.149,49.90001
4.151,49.91001
4.154,49.92
4.157,49.93
4.159,49.93
4.162,49.93
4.164,49.95
4.167,49.93999
4.169,49.95
4.172,49.92001
4.175,49.95
4.177,49.92001
4.18,49.93
4.183,49.94
4.185,49.92
4.188,49.92001
4.191,49.95
4.193,49.96
4.196,49.97001
4.199,49.95
4.201,49.92
4.204,49.91999
4.207,49.91
4.209,49.93
4.212,49.94
4.215,49.97001
4.217,49.97001
4.22,49.94
4.223,49.94001
4.225,49.92001
4.228,49.93
4.23,49.96
4.233,49.94001
4.236,49.96
4.238,49.95
4.241,49.93999
4.243,49.94001
4.246,49.95
4.249,49.94999
4.251,49.94999
4.254,49.95
4.256,49.96
4.259,49.94001
4.262,49.94001
4.265,49.95
4.267,49.95
4.27,49.97001
4.272,49.97001
4.275,49.93
4.278,49.97
4.28,49.95
4.283,49.95
4.286,49.96
4.289,49.95
4.291,49.95
4.294,49.95
4.296,49.96001
4.299,49.95
4.302,49.95
4.304,49.95
4.307,49.95001
4.31,49.96
4.312,49.96
4.315,49.96
4.318,49.96001
4.32,49.96
4.323,49.96
4.326,49.96001
4.328,49.96001
4.331,49.96
4.333,49.96999
4.336,49.97001
4.339,49.97
4.341,49.96
4.344,49.97001
4.347,49.96
4.349,49.97
4.352,49.96
4.355,49.97001
4.357,49.97
4.36,49.95
4.363,49.98001
4.365,49.96001
4.368,49.97
4.37,49.98
4.373,49.99001
4.376,49.98
4.378,49.97
4.381,49.97001
4.384,49.94
4.386,49.97
4.389,49.99001
4.392,49.98001
4.394,49.99
4.397,50
4.4,49.99001
4.402,49.97001
4.405,49.98
4.408,49.98
4.41,49.97001
4.413,49.96
4.415,49.96
4.418,49.98
4.421,49.98
4.423,49.98
4.426,49.98001
4.429,49.98
4.431,49.94
4.434,49.98
4.437,49.99001
4.439,49.99
4.442,49.98
4.444,49.98
4.447,49.98001
4.45,49.98
4.453,49.98
4.455,49.96999
4.458,49.98
4.461,49.98
4.463,49.96001
4.466,49.99001
4.469,49.98
4.471,49.96
4.474,50.00001
4.477,49.99
4.479,49.96
4.482,49.96
4.485,49.98001
4.487,49.95
